Animal Class,Species Name,Common Name,Year,Continent,Countries
Bird,Siphonorhis americana,Jamaican poorwill,1860,North America,Jamaica
Bird,Pachyornis australis,Crested moa,1860,Oceania,New Zealand
Reptile,Pseudophilautus maia,,1860,Asia,Sri Lanka
Mammal,,Lesser Mascarene flying fox,1862,Africa,France
Insect,,Mbashe River buff,1863,Africa,South Africa
Insect,Lycaena dispar dispar,British large copper,1864,Europe,United Kingdom
Reptile,Pseudophilautus temporalis,,1864,Asia,Sri Lanka
Bird,,Siau scops owl,1866,Asia,Indonesia
Bird,Cyanoramphus novaezelandiae subflavescenes,Red-crowned parakeet,1869,Oceania,Australia
Reptile,Pseudophilautus nanus,,1869,Asia,Sri Lanka
Reptile,Pseudophilautus nasutus,,1869,Asia,Sri Lanka
Bird,Ara tricolor,Cuban red macaw,1870,North America,Cuba
Bird,Coenocorypha barrierensis,North Island snipe,1870,Oceania,New Zealand
Bird,Chenonetta finschi,Finsch's duck,1870,Oceania,New Zealand
Reptile,Hoplodactylus delcourti,Kawekaweau,1870,Oceania,New Zealand
Bird,Eudyptes chathamensis,Chatham Islands penguin,1872,Oceania,New Zealand
Bird,Gallirallus dieffenbachii,Dieffenbach's rail,1872,Oceania,New Zealand
Bird,Ixobrychus novaezelandiae,New Zealand little bittern,1872,Oceania,New Zealand
Reptile,Pseudophilautus oxyrhynchus,,1872,Asia,Sri Lanka
Mammal,Pteropus brunneus,Dusky flying fox,1874,Oceania,Australia
Mammal,Pteropus pilosus,Large Palau flying fox,1874,Oceania,Palau
Mammal,Potorous platyops,Broad-faced potoroo,1875,Oceania,Australia
Bird,,Newton's parakeet,1875,Africa,Mauritius
Bird,Coturnix novaezelandidae,New Zealand quail,1875,Oceania,New Zealand
Bird,,Himalayan quail,1876,Asia,India
Mammal,,Cape lion,1876,Africa,South Africa
Reptile,Pseudophilautus hypomelas,,1876,Asia,Sri Lanka
Reptile,Pseudophilautus pardus,,1876,Asia,Sri Lanka
Mammal,,Falkland Island wolf,1876,South America,Falkland Islands [Islas Malvinas]
Bird,Camptorhynchus labradorius,Labrador duck (lived in North America),1878,North America,United States
Bird,Pterodroma caribbaea,Jamaican petrel,1879,North America,Jamaica
Mammal,Oryzomys antillarum,Jamaican rice rat,1879,North America,Jamaica
Insect,,Morant's blue,1879,Africa,South Africa
Bird,Chlorostilbon bracei,Brace's emerald,1880,North America,Bahamas
Mammal,,Atlas bear (lived across Atlas Mountains),1880,Africa,Algeria
Reptile,,Gunther's streamlined frog,1882,Asia,Sri Lanka
Reptile,Pseudophilautus extirpo,,1882,Asia,Sri Lanka
Bird,Porzana sandwichensis,Hawaiian rail,1883,Oceania,Hawaii
Mammal,,Quagga,1883,Africa,South Africa
Arachnid,Tityus exstinctus,,1884,North America,Martinique
Bird,,Seychelles parakeet,1886,Africa,Seychelles
Reptile,Pseudophilautus adspersus,,1886,Asia,Sri Lanka
Mammal,Cervus canadensis canadiensis,Eastern elk (lived in North America),1887,North America,United States
Bird,,Ryukyu kingfisher,1887,Asia,Japan
Mammal,Uromys porculus,Guadalcanal rat,1888,Oceania,Solomon Islands
Mammal,Lagorchestes leporides,Estern hare-wallaby,1889,Oceania,Australia
Bird,,Bonin nankeen night heron,1889,Asia,Japan
Bird,,Bonin wood pigeon,1889,Asia,Japan
Mammal,,Hokkaido wolf,1889,Asia,Japan
Bird,Hemignathus ellisianus lanaiensis,Lana'i 'akialoa,1890,Oceania,Hawaii
Fish,Romanogobio antipai,,1890,Europe,Romania
Fish,Coregonus restrictus,,1890,Europe,Switzerland
Bird,Rhodacanthis flaviceps,Lesser koa finch,1891,Oceania,Hawaii
Bird,,Sulu bleeding-heart,1891,Asia,Philippines
Bird,Ciridops anna,Ula-'ai-hawane,1892,Oceania,Hawaii
Bird,Dendroscansor decurvirostris,Long-billed wren,1892,Oceania,New Zealand
Mammal,Capra pyrenaica lusitanica,Portuguese ivex,1892,Europe,Portugal
Fish,Moxostoma lacerum,Harelip sucker,1893,North America,United States
Mammal,,Red gazelle,1894,Africa,Algeria
Bird,Chloridops kona,Kona grosbeak,1894,Oceania,Hawaii
Insect,Urania sloanus,Sloane's Urania butterfly,1894,North America,Jamaica
Bird,Xenicus lyalli,Lyall's wren,1894,Oceania,New Zealand
Bird,Porphyrio mantelli,North Island takahe,1894,Oceania,New Zealand
Bird,Bowdleria rufescens,Chatham fernbird,1895,Oceania,New Zealand
Bird,Rhodacanthis palmeri,Greater koa finch,1896,Oceania,Hawaii
Mammal,Microtus pennsylvanicus nesophilus,Gull Island vole,1897,North America,United States
Mammal,Oryzomys nelsoni,Nelson's rice rat,1897,North America,Mexico
Mammal,Rattus nativitatis,Bulldog rat,1898,Oceania,Australia
Bird,Drepanis pacifica,Hawai'i mamo,1898,Oceania,Hawaii
Mammal,Oligoryzomys victus,Saint Vincent pygmy rice rat,1898,North America,Saint Vincent and the Grenadines
Mammal,,One-striped opossum,1899,South America,Argentina
Reptile,Pseudophilautus halyi,,1899,Asia,Sri Lanka
Fish,Chondrostoma scodrense,,1900,Europe,Albania
Bird,Athene cunicularia amaura,Antiguan burrowing owl,1900,North America,Antigua and Barbuda
Bird,Athene cunicularia guadeloupensis,Guadeloupe burrowing owl,1900,North America,Guadeloupe
Bird,Porphyrio paepae,Marquesas swamphen,1900,Oceania,French Polynesia
Bird,Gallirallus pacificus,Tahitian red-billed rail,1900,Oceania,French Polynesia
Bird,Caracara lutosa,Guadalupe caracara,1900,North America,Guadeloupe
Insect,Agrotis photophila,Light-loving noctuid moth,1900,Oceania,Hawaii
Reptile,Tropidophis bucculentus,Navassa Island dwarf boa,1900,North America,Navassa Island
Reptile,Cyclura cornuta onchiopsis,Navassa Island iguana,1900,North America,Navassa Island
Bird,Cabalus modestus,Chatham Islands rail,1900,Oceania,New Zealand
Bird,Diaphorapteryx hawkinsi,Hawkins's rail,1900,Oceania,New Zealand
Bird,Corvus moriorum ,Chatham raven,1900,Oceania,New Zealand
Mammal,,Cape warthog,1900,Africa,South Africa
Reptile,Tachygia microlepis,Tonga ground skink,1900,Oceania,Tonga
Bird,,Tristan moorhen,1900,Africa,Saint Helena
Crustacean,Pacifastacus nigrescens,Sooty crayfish,1900,North America,United States
Insect,Coleophora leucochrysella,Chestnut casebearer moth,1900,North America,United States
Bird,Aratinga labati ,Guadeloupe parakeet,1900,North America,Guadeloupe
Bird,Hemiphaga novaeseelandiae spadicea,New Zealand pigeon,1901,Oceania,Australia
Mammal,Notomys longicaudatus,Long-tailed hopping mouse,1901,Oceania,Australia
Bird,Hemignathus sagittirostris,Greater 'amakihi,1901,Oceania,Hawaii
Insect,Melanoplus spretus,Rocky Mountain locust (lived in North America),1902,North America,United States
Bird,Mergus australis,New Zealand merganser,1902,Oceania,New Zealand
Mammal,Megalomys desmarestii,Antillean giant rice rat,1902,North America,Martinique
Mammal,Rattus macleari,Maclear's rat,1903,Oceania,Australia
Fish,Oncorhynchus clarki macdonald,Yellowfin cutthroat trout,1903,North America,United States
Mammal,Vulpes macrotis macrotis,Southern California kit fox,1903,North America,United States
Bird,Moho bishopi,Bishop's 'o'o,1904,Oceania,Hawaii
Bird,Microgoura meeki,Choiseul pigeon,1904,Oceania,Solomon Islands
Fish,Salvelinus neocomensis,,1904,Europe,Switzerland
Mammal,,Honshu wolf,1905,Asia,Japan
Mammal,Sorex ornatus juncensis,Tule shrew,1905,North America,United States
Bird,Anthornis melanocephala,Chatham bellbird,1906,Oceania,New Zealand
Mammal,Cervus canadensis merriami,Merriam's elk,1906,North America,United States
Bird,,Bogota sunangel,1907,South America,Colombia
Bird,Drepanis funerea,Black mamo,1907,Oceania,Hawaii
Bird,Heteralocha acutirostris,Huia,1907,Oceania,New Zealand
Mammal,Nyctimene sanctacrucis,Nendo tube-nosed fruit bat,1907,Oceania,Solomon Islands
Mammal,,De Winton's golden mole,1907,Africa,South Africa
Bird,Dasyornis broadbenti litoralis,Rufous bristlebird ,1908,Oceania,Australia
Bird,,Colombian grebe,1908,South America,Chile
Mammal,Equus ferus ferus,Tarpan,1909,Europe,Russia
Bird,Drymodes superciliaris colcloughi,Roper River scrub-robin,1910,Oceania,Australia
Bird,Quiscalus palustris,Slender-billed grackle,1910,North America,Mexico
Mammal,,Peruvian viscacha,1910,South America,Peru
Mammal,Canis lupus beothucu,Newfoundland wolf,1911,North America,Canada
Bird,Oceanodroma macrodactyla,Guadalupe storm petrel,1912,North America,Guadeloupe
Reptile,,Eastwood's long-tailed seps,1912,Africa,South Africa
Bird,Sceloglaux albifacies,Laughing owl,1914,Oceania,New Zealand
Bird,Ectopistes migratorius,Passenger pigeon (lived in North America),1914,North America,United States
Reptile,,Rodrigues day gecko,1917,Africa,Mauritius
Reptile,Leiocephalus eremitus,Navassa curly-tailed lizard,1917,North America,Navassa Island
Bird,Dysmorodrepanis munroi,Lana'i hookbill,1918,Oceania,Hawaii
Bird,,Ruck's blue flycatcher,1918,Asia,Indonesia 
Bird,Conuropsis carolinensis,Carolina parakeet (lived in North America),1918,North America,United States
Mammal,Canis lupus bernardi,Banks Island wolf,1920,North America,Canada
Bird,Acrocephalus familiaris familiaris,Laysan millerbird,1920,Oceania,Hawaii
Bird,Ptilinopus mercierii,Red-moustached fruit dove,1922,Oceania,French Polynesia
Bird,Prosobonia leucoptera,Tahiti sandpiper,1922,Oceania,French Polynesia
Mammal,Ursus arctos californicus,California golden bear,1922,North America,United States
Bird,Aplonis fusca,Tasman starling,1923,Oceania,Australia
Bird,Zosterops strenuus,Robust white-eye,1923,Oceania,Australia
Bird,Himatione fraithii,Laysan honeycreeper,1923,Oceania,Hawaii
Bird,Rhipidura cervina,Lord Howe fantail,1924,Oceania,Australia
Bird,Turdus poliocephalus vinitinctus,Lord Howe Island thrush,1924,Oceania,Australia
Bird,,Madeiran wood pigeon,1924,Africa,Madeira
Mammal,,Indian Javan rhinoceros,1925,Asia,India
Mammal,Bison bonasus caucasicus,Caucasian wisent,1925,Europe,Russia
Insect,Levuana irridescens,Levuana moth,1925,Oceania,Fiji
Mammal,,Bubal hartebeest (lived North of the Sahara Desert),1925,Africa,Morocco
Mammal,,Anthony's woodrat,1926,North America,Mexico 
Insect,Pentagenia robusta,Robust burrowing mayfly,1926,North America,United States
Bird,Psephotus pulcherrimus,Paradis parrot,1927,Oceania,Australia
Mammal,,Ethiopian amphibious rat,1927,Africa,Ethiopia
Insect,Agrotis crinigera,Poko noctuid moth,1927,Oceania,Hawaii
Bird,Gallicolumba salamonis,Thick-billed ground dove,1927,Oceania,Solomon Islands
Reptile,Pseudophilautus rugatus,,1927,Asia,Sri Lanka
Reptile,Pseudophilautus zimmeri,,1927,Asia,Sri Lanka
Bird,Gerygone insularis,Lord Howe gerygone,1928,Oceania,Australia
Reptile,Ameiva cineracea,Guadeloupe ameiva,1928,North America,Guadeloupe
Fish,Cottus echinatus,Utah Lake sculpin,1928,North America,United States
Bird,,Vaurie's nightjar,1929,Asia,China
Mammal,,Darwin's rice rat,1929,South America,Ecuador
Bird,,Bering cackling goose,1929,Asia,Russia
Amphibian,,Spiny-knee leaf frog,1930,South America,Brazil
Reptile,,Cape Verde giant skink,1930,Africa,Cape Verde
Bird,,Mukojima white-eye,1930,Asia,Japan 
Mammal,Mus musculus muralis,St Kilda house mouse,1930,Europe,United Kingdom
Fish,Oncorhynchus clarki alvordensis,Alvord cutthroat trout,1930,North America,United States
Fish,Salvelinus agassizi,Silver trout,1930,North America,United States
Insect,Mecodema punctellum,,1931,Oceania,New Zealand
Bird,Rallus pectoralis clelandi,Lewin's water rail,1932,Oceania,Australia
Mammal,Neotoma bunkeri,Bunker's woodrat,1932,North America,Mexico 
Bird,Tympanuchus cupido cupido,Heath hen,1932,North America,United States
Reptile,Pseudophilautus dimbullae,,1933,Asia,Sri Lanka
Reptile,Pseudophilautus eximius,,1933,Asia,Sri Lanka
Crustacean,Syncaris pasadenae,Pasadena freshwater shrimp,1933,North America,United States
Amphibian,,Atelopus vogli,1933,South America,Venezuela
Bird,Moho nobilis,Hawai'i 'o'o,1934,Oceania,Hawaii
Mammal,Caloprymnus campestris,Desert rat-kangaroo,1935,Oceania,Australia
Mammal,Lagorchestes asomatus,Central hare-wallaby,1935,Oceania,Australia
Mammal,Canis lupus youngi,Southern Rocky Mountains wolf,1935,North America,United States
Mammal,Thylacinus cynocephalus,Thylacine,1936,Oceania,Australia
Bird,,Ryukyu wood pigeon,1936,Asia,Japan 
Mammal,Mesocapromys nanus,Dwarf hutia,1937,North America,Cuba
Mammal,,Bali tiger,1937,Asia,Indonesia
Insect,Hydropsyche tobiasi,Tobias' caddisfly,1938,Europe,Germany
Mammal,,Schomburgk's deer,1938,Asia,Thailand
Fish,Rhinichthys osculus reliquus,Grass Valley speckled dace,1938,North America,United States
Fish,Lepidomeda altivelis,Pahranagat spinedace,1938,North America,United States
Bird,,Eskimo curlew,1939,South America,Brazil
Fish,Coregonus gutturosus,Lake Constance whitefish (lived in Lake Constance),1940,Europe,Austria
Fish,Coregonus oxyrinchus,Houting,1940,Europe,Belgium
Mammal,Canis lupus fuscus,Cascade mountain wolf (lived in North America),1940,North America,United States
Bird,Amazilia cyanifrons,Indigo-capped hummingbird,1940,North America,Costa Rica
Mammal,,Indefatigable Galapagos mouse,1940,South America,Ecuador 
Bird,Pomarea nukuhivae,Nuku Hiva monarch,1940,Oceania,French Polynesia
Bird,Hemignathus obscurus,Hawai'i 'akialoa,1940,Oceania,Hawaii
Bird,Hemignathus ellisianus ellisanus,O'ahu 'akialoa,1940,Oceania,Hawaii
Bird,,Javan lapwing,1940,Asia,Indonesia
Fish,,Titicaca Orestias,1940,South America,Peru
Fish,,Salmo pallaryi,1940,Africa,Morocco
Fish,Prototroctes oxyrhynchus,New Zealand grayling,1940,Oceania,New Zealand
Reptile,Gallotia simonyi simonyi,Roque Chico de Salmor giant lizard,1940,Europe,Spain
