CountryName,id,1960,1970,1980,1990,2000,2010
Mexico,484,20.26498881,26.76501916,35.66499859,44.03889195,52.88643741,61.01882353
Moldova,498,90.74441774,106.0368551,118.2986728,128.7490856,126.7399798,124.1693101
Mongolia,496,0.632212467,0.82315778,1.087580782,1.405896779,1.543189835,1.746090914
Montenegro,499,36.51598513,38.09717472,42.5730855,45.08342007,44.97769517,46.05412639
Morocco,504,28.48286732,35.93583367,44.974013,55.90438718,64.86792068,71.94205467
Mozambique,508,9.719588494,11.77811999,15.17889443,17.00446476,23.22609425,30.92837687
Myanmar [Burma],104,33.60405484,41.56753221,52.74458182,64.27656915,72.94089268,79.19207207
Namibia,516,0.749774684,0.947887136,1.230138833,1.719256884,2.305327406,2.664483961
Nepal,524,71.43463636,83.82499301,104.1264336,131.0607552,165.6096617,187.4845483
Netherlands,528,344.7485782,386.212263,419.1291469,442.876481,471.7272808,492.5998814
New Caledonia,540,4.442013129,6.126914661,7.661378556,9.348960613,11.66466083,13.6761488
New Zealand,554,9.189548441,10.67449014,11.82218678,12.64593065,14.65079184,16.52310964
Nicaragua,558,15.21023766,19.92766329,27.00606615,34.44045205,41.77158052,47.67925877
Niger,562,2.758061104,3.550449988,4.70763322,6.246059841,8.861232336,12.8617589
Nigeria,566,50.66499116,61.63119558,80.91844922,104.9851719,134.9152069,175.0439101
North Korea,410,267.112513,334.2403794,395.2288513,444.4254924,487.3326871,508.180253
Norway,578,9.883229065,10.61140604,11.18597106,11.61267916,12.29576586,13.38622568
Oman,512,1.825185784,2.338772213,3.729806139,5.855117932,7.235550889,9.511298869
Pakistan,586,59.65707633,75.36093685,101.2764425,139.5906483,179.3411257,220.584161
Palestinian Territory,0,0,0,0,0,0,0
Panama,591,15.69869518,20.43708636,26.61521388,33.23930589,40.74187517,48.70199085
Papua New Guinea,598,4.418690103,5.376396679,7.100390849,9.181431347,11.86691472,15.1206046
Paraguay,600,4.916513969,6.227289202,8.005607853,10.6059401,13.34684873,15.63019633
Peru,604,8.086124219,10.42271172,13.56181094,17.05207656,20.24599609,22.94815938
Philippines,608,91.07697311,120.0453665,158.9595399,207.7584599,261.3685045,312.0330751
Poland,616,97.82885501,106.6450096,116.1453198,124.4271181,124.9098208,124.2092007
Portugal,620,97.58815301,94.86809836,106.7356503,109.1062077,112.4579016,115.4394585
Puerto Rico,630,270.5436302,306.4261556,361.4430665,398.7598647,429.6059752,419.5632469
Qatar,634,4.423341947,9.416795866,19.26916451,41.04031008,51.11567614,152.0683032
Romania,642,80.55591734,87.91524703,96.56443952,101.1634402,97.70132341,88.01074114
Russian,643,7.396971925,7.956339098,8.481416966,9.047739621,8.948996663,8.722634362
Rwanda,646,121.4467369,152.190758,208.3820835,294.274017,325.1672071,417.2545197
Saudi Arabia,682,1.962552275,2.714993325,4.611323958,7.61107555,9.951329261,13.06730133
Senegal,686,16.96129434,21.90699631,28.92354958,39.02872799,51.21580014,67.29751727
Serbia,688,0,0,0,0,0,0
Sierra Leone,694,30.62024106,34.83168468,42.75985037,54.46395123,56.25809088,80.02080909
Slovakia,703,87.14484407,94.34975052,103.5304574,110.1702079,112.0316008,112.1088769
Slovenia,705,79.15248262,85.64503476,94.40491559,99.21355511,98.75496524,101.7171301
Solomon Islands,90,4.337370489,5.726759557,8.239156842,11.14144337,14.73154698,18.79874955
Somaliland,993,4.486694615,5.492109542,9.70718749,10.07685625,11.77258903,15.2735582
Somalia,706,4.486694615,5.492109542,9.70718749,10.07685625,11.77258903,15.2735582
South Sudan,728,0,0,0,0,0,0
South Africa,710,14.79689223,18.20722288,22.73203142,29.01680832,36.27101039,41.85330485
South Korea,408,96.88226061,119.6777676,144.2751183,167.713263,189.6870526,203.4756748
Spain,724,61.50556245,67.65883189,74.95752498,77.78799255,80.68780762,93.15193096
Sri Lanka,144,162.1431989,199.5535002,235.1618562,272.3329613,297.4804656,320.8100781
Sudan,729,4.529038721,5.841689815,8.046895202,10.84637795,14.63495918,19.43239057
Suriname,740,1.911474359,2.379923077,2.32549359,2.617153846,3.081737179,3.321416667
Swaziland,748,20.78616279,25.92116279,35.07982558,50.15860465,61.84389535,69.36906977
Sweden,752,18.32626115,19.60033387,20.25279281,20.85791051,21.62136034,22.85452552
Switzerland,756,137.4796094,156.3670563,159.8716859,169.888411,181.7693047,198.0187519
Syria,760,25.80583306,34.70890195,48.73302862,67.75241593,88.98710415,112.8388716
Taiwan,158,0,0,0,0,0,0
Tajikistan,762,15.29303372,20.86014576,27.99115462,37.84857102,44.19942841,54.1704487
Tanzania,834,11.71074735,15.35956649,21.0938056,28.74035674,38.37388801,51.53367013
Thailand,764,55.24517607,72.1973693,92.75054317,110.7534381,122.7139345,130.5408679
Timor-Leste,626,34.18365837,40.53375925,38.84196369,49.7801614,56.97276395,71.71546738
Togo,768,29.37172274,38.89540357,50.02460011,69.62570325,89.62557455,117.500478
Trinidad and Tobago,780,168.6853801,184.4046784,211.5610136,238.1879142,247.1695906,258.8879142
Tunisia,788,27.53199665,33.0007724,41.09165808,52.48712667,61.48622554,67.88813079
Turkey,792,36.67904188,45.18019178,57.04791913,70.15657524,82.1695581,93.95477827
Turkmenistan,795,3.510978231,4.657074458,6.088140787,7.805417828,9.578913881,10.72924691
Uganda,800,35.06645814,47.27503128,62.79842851,87.00449927,118.9011361,165.3172601
Ukraine,804,74.5725986,81.27514974,86.24978165,89.56934496,84.88107016,79.18024581
United Arab Emirates,784,1.207954545,2.816196172,12.16254785,21.66815789,36.48478469,99.63460526
United Kingdom,826,218.2449469,230.0799818,232.7707023,236.6287191,243.4279089,259.4401893
United States,840,20.05587971,22.3881314,24.80903945,27.25451361,30.79730133,33.81793588
Uruguay,858,14.69369786,16.05415952,16.65966747,17.76932351,18.97635699,19.28016227
Uzbekistan,860,21.26156794,28.14526093,37.49858721,48.21344617,57.94640339,67.14245416
Vanuatu,548,5.390319934,7.004757998,9.485972108,12.02895816,15.18113208,19.38465956
Venezuela,862,9.593202199,13.13730287,17.39574514,22.51795136,27.75520322,32.87313077
Vietnam,704,108.8451258,131.2759225,164.9820271,202.8225137,249.5688935,280.3641113
Western Sahara,732,0,0,0,0,0,0
Yemen,887,9.946896604,11.6601966,15.26484649,22.6548838,33.70498134,44.68430403
Zambia,894,4.227724344,5.630124161,7.976293735,10.95406449,14.23912078,18.7215849
Zimbabwe,716,10.02103658,13.45821636,18.84214295,27.10293654,32.31221662,36.12226186
